state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
1,1,22,12,28,33,527,10
1,2,10,13,54,55.8,523,10
3,6,6,6,15,20,524,9
1,4,12,19,126.5,175.25,523,13
4,8,20,25,46,50,523,10
2,5,5,15,35,73,523,9
3,6,14,15,65.01,69,523,10
1,3,3,1,85,130,610,10
1,1,22,10,18,22,525,15
1,1,22,12,26,31,525,10
4,9,32,22,34.19,61.86,523,10
1,4,24,13,55.25,55.8,524,10
3,6,14,1,108.76,129.75,610,10
1,2,10,19,137.1,152.55,523,12
1,3,3,8,75,89,524,10
1,4,12,29,90.85,109.1,523,10
1,4,11,30,24.95,40,523,10
4,9,9,30,22.67,23.67,523,10
2,5,5,21,21,96.7,523,10
1,1,1,1,87.5,125,611,10
1,1,22,27,26,35,527,10
1,2,25,13,55.05,55.85,524,10
1,2,25,13,55.5,56.1,524,10
1,1,19,13,48.3,48.3,524,10
1,2,29,13,54.75,55.35,524,9
1,2,29,13,55.5,55.75,524,10
3,6,6,9,25,30,524,10
2,5,5,1,90,120,610,11
1,4,24,19,135,153.5,524,10
1,1,19,19,147.05,147.05,524,10
1,2,29,19,137.5,161.55,524,10
1,2,29,1,115,157.5,613,12
1,1,19,8,28.75,28.75,525,10
1,4,12,1,72.9,120.1,612,12
2,5,5,22,40,55,523,10
3,6,13,22,36,52.7,523,10
1,2,10,29,70,95.8,523,9
2,5,5,29,88.7,97.31,523,9
4,8,20,18,21,23,524,10
4,8,20,10,20,28,525,10
3,6,6,10,14,18,524,10
1,1,19,22,44.05,48.45,524,10
1,1,28,22,40.5,51.1,524,9
4,8,20,11,20,220,525,10
1,1,19,30,22.5,31.55,524,9
1,3,26,13,45,53,524,10
1,4,11,13,56.2,56.65,524,10
1,2,29,13,55.75,56.5,524,10
1,2,29,13,55.75,55.9,524,10
1,4,31,13,54.75,56.5,524,9
1,4,31,13,55.15,55.85,524,10
1,4,31,13,54.75,55.65,524,9
2,10,17,2,41.3,46.5,524,10
2,5,5,1,60,130.01,613,9
1,3,26,17,54.2,57.05,524,10
1,2,23,7,19.25,19.25,525,10
2,10,17,7,15.5,16.1,525,10
4,8,20,8,60,80,524,10
4,8,18,18,6,12,524,10
4,8,20,9,40,44,524,10
2,10,17,2,41,46.75,610,10
1,3,3,8,19.1,23.15,525,10
1,2,29,19,138.75,168.5,523,10
3,6,14,1,107,119.76,613,10
4,8,20,10,16,20,524,9
1,3,26,19,67.75,152.25,524,9
1,4,11,19,137.5,159.5,524,10
1,2,29,19,143.75,162.5,524,12
1,2,29,19,144,151.25,524,10
1,4,12,19,130,176.05,524,10
1,1,22,10,21,24,527,9
1,2,10,13,54.5,56.25,524,10
1,1,1,15,57.55,67.1,524,10
1,3,3,15,45,63.65,524,9
1,1,1,17,53.9,63.2,524,10
1,3,3,17,52,61.7,524,9
1,2,25,13,55,55.65,525,10
1,2,25,13,55.75,55.95,525,11
1,1,19,13,47.5,51.5,525,10
1,2,29,13,55.35,56.1,525,10
1,4,21,9,1,2.5,524,11
1,4,21,25,30,30,524,9
1,1,1,19,75,161.1,524,9
1,3,3,19,120,160.5,524,10
4,8,20,25,50,60,524,10
1,1,22,12,35,48,612,9
3,6,14,15,67,67.7,524,10
4,9,9,17,50,56.5,524,9
1,1,19,17,50,63.35,525,10
1,1,28,17,53.5,62.75,525,10
1,3,26,22,41,48,524,10
1,4,21,27,17,32.55,524,10
1,4,12,29,87,107.1,524,10
1,4,11,30,30,30.55,524,10
1,4,12,1,52.5,120.05,617,9
1,1,19,19,152.5,152.5,525,10
1,1,28,19,150,159.75,525,10
1,2,10,19,137.55,158.1,524,9
3,6,14,21,15,66,524,10
1,1,1,22,34.5,49.3,524,14
1,3,3,22,37.5,50,524,10
3,6,6,27,15,20,524,10
1,1,1,30,26.3,26.3,524,10
2,5,5,1,80,137,617,10
2,10,17,7,15.5,15.7,524,9
4,9,9,22,32.5,48.62,524,12
1,2,23,13,55.1,55.3,525,10
1,3,3,13,50,54.95,525,9
1,4,31,13,54.75,56.6,525,10
1,4,31,13,55,55.7,525,10
1,4,31,13,55,56.1,525,9
1,2,10,29,78.75,96.3,524,10
4,9,9,30,15.29,26.55,524,10
2,10,17,2,40.5,46.2,613,9
1,2,10,13,54.2,55.8,525,10
1,2,23,29,67.55,67.55,524,10
4,7,15,22,22.69,60.41,524,9
3,6,6,6,19,20,528,10
2,5,5,7,17.71,18.06,527,9
3,6,13,7,17,17.7,527,9
1,4,12,1,80,130,524,10
2,5,5,1,18,22,524,10
4,9,16,30,16.6,25.05,524,10
1,1,28,17,60.05,65.5,528,9
1,2,10,19,126.25,157.05,525,10
1,4,12,19,137.5,170,525,10
1,1,28,30,21.5,27.75,527,10
2,10,17,2,39,46,617,10
1,1,28,19,141,167.05,528,9
4,8,20,18,26,28,525,9
1,1,19,30,21,30.8,525,10
1,1,28,30,22.5,27.5,525,10
4,8,20,25,50,52,525,9
1,4,12,1,92.4,117.5,620,10
1,4,12,1,45,120,618,10
4,8,18,6,24,48,529,10
4,8,20,11,18,20,528,8
4,8,20,10,20,22,527,10
3,6,6,11,12,15,524,10
3,6,6,9,18,20,528,8
3,6,6,12,20,30,524,10
1,1,28,17,60,63.9,527,10
1,1,1,13,47.55,53.7,524,10
1,3,3,13,52,55.05,524,10
2,5,5,7,17.5,18.05,528,10
1,1,22,10,18,23,530,10
3,6,13,7,17,17.73,528,10
4,7,15,22,20.7,60.71,525,10
1,2,29,1,124.05,150.05,528,9
1,4,11,13,55.75,56.25,527,10
1,4,4,13,55.25,55.9,527,10
1,3,3,15,55,79.5,525,10
1,3,3,17,25,61.5,525,10
1,2,10,29,75.05,94.05,525,10
1,4,12,29,88.05,109,525,10
1,1,1,23,57.5,61.55,525,10
1,1,1,22,34.35,48.55,525,9
